goos: darwin
goarch: arm64
pkg: github.com/arnonrgo/immutable
cpu: Apple M2 Pro
BenchmarkBatchListBuilder/Size10000_Batch128-12                      	    6289	    215188 ns/op	  103336 B/op	     395 allocs/op
BenchmarkBatchListBuilder_vs_Regular/BatchBuilder-12                 	    6481	    191656 ns/op	  102824 B/op	     395 allocs/op
BenchmarkBatchListBuilder_vs_Regular/BatchBuilder-12                 	    6456	    187799 ns/op	  102824 B/op	     395 allocs/op
BenchmarkBatchListBuilder_vs_Regular/BatchBuilder-12                 	    6391	    187599 ns/op	  102824 B/op	     395 allocs/op
BenchmarkBatchListBuilder_vs_Regular/RegularBuilder-12               	    6604	    176692 ns/op	  102264 B/op	     393 allocs/op
BenchmarkBatchListBuilder_vs_Regular/RegularBuilder-12               	    6682	    198953 ns/op	  102264 B/op	     393 allocs/op
BenchmarkBatchListBuilder_vs_Regular/RegularBuilder-12               	    6598	    180407 ns/op	  102264 B/op	     393 allocs/op
BenchmarkBatchListBuilder_vs_Regular/DirectConstruction-12           	     374	   3189350 ns/op	19945894 B/op	   49273 allocs/op
BenchmarkBatchListBuilder_vs_Regular/DirectConstruction-12           	     368	   3268956 ns/op	19945882 B/op	   49272 allocs/op
BenchmarkBatchListBuilder_vs_Regular/DirectConstruction-12           	     373	   3861533 ns/op	19945886 B/op	   49272 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch16-12                          	  101731	     12158 ns/op	   10846 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch16-12                          	   98631	     11984 ns/op	   10846 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch16-12                          	   97065	     12329 ns/op	   10846 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch32-12                          	  104158	     11941 ns/op	   11358 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch32-12                          	   95590	     12783 ns/op	   11358 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch32-12                          	   95115	     13071 ns/op	   11358 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch64-12                          	  101758	     12061 ns/op	   12255 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch64-12                          	   99391	     11924 ns/op	   12255 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch64-12                          	   97317	     12232 ns/op	   12255 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch128-12                         	  102441	     12233 ns/op	   13663 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch128-12                         	   98179	     12042 ns/op	   13663 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size100_Batch128-12                         	   95344	     12411 ns/op	   13663 B/op	     420 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch16-12                         	   10000	    110890 ns/op	  108045 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch16-12                         	    9841	    115784 ns/op	  108046 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch16-12                         	   10000	    112927 ns/op	  108046 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch32-12                         	   10000	    113002 ns/op	  108559 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch32-12                         	   10000	    113092 ns/op	  108560 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch32-12                         	   10000	    127092 ns/op	  108560 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch64-12                         	   10000	    112473 ns/op	  109455 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch64-12                         	   10000	    112327 ns/op	  109454 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch64-12                         	   10000	    116097 ns/op	  109455 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch128-12                        	   10000	    113857 ns/op	  110864 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch128-12                        	   10000	    109925 ns/op	  110863 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size1000_Batch128-12                        	   10000	    113285 ns/op	  110863 B/op	    3992 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch16-12                        	     954	   1254378 ns/op	 1146022 B/op	   45114 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch16-12                        	     949	   1292561 ns/op	 1145990 B/op	   45113 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch16-12                        	     928	   1275178 ns/op	 1145999 B/op	   45114 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch32-12                        	     955	   1244919 ns/op	 1146526 B/op	   45114 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch32-12                        	     939	   1237418 ns/op	 1146504 B/op	   45114 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch32-12                        	     966	   1253294 ns/op	 1146506 B/op	   45114 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch64-12                        	     954	   1222586 ns/op	 1147422 B/op	   45114 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch64-12                        	     960	   1237254 ns/op	 1147399 B/op	   45113 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch64-12                        	     962	   1258359 ns/op	 1147396 B/op	   45113 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch128-12                       	     946	   1225875 ns/op	 1148814 B/op	   45114 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch128-12                       	     942	   1236246 ns/op	 1148787 B/op	   45113 allocs/op
BenchmarkBatchMapBuilder/Size10000_Batch128-12                       	     980	   1262880 ns/op	 1148778 B/op	   45113 allocs/op
BenchmarkBatchMapBuilder_vs_Regular/BatchBuilder-12                  	     931	   1254236 ns/op	 1147417 B/op	   45114 allocs/op
